PRAGMA foreign_keys=OFF;
BEGIN TRANSACTION;
CREATE TABLE IF NOT EXISTS "light" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT,
	"r" REAL DEFAULT(1.0),
	"g" REAL DEFAULT(1.0),
	"b" REAL DEFAULT(1.0),
	"radius" REAL DEFAULT(1.0)
);
INSERT INTO light VALUES(1,'tiny white',1.0,1.0,1.0,1.0);
INSERT INTO light VALUES(2,'small white',1.0,1.0,1.0,2.0);
INSERT INTO light VALUES(3,'small white',1.0,1.0,1.0,3.0);
INSERT INTO light VALUES(4,'small white',1.0,1.0,1.0,4.0);
INSERT INTO light VALUES(5,'medium white',1.0,1.0,1.0,5.0);
INSERT INTO light VALUES(6,'medium white',1.0,1.0,1.0,6.0);
INSERT INTO light VALUES(7,'medium white',1.0,1.0,1.0,7.0);
INSERT INTO light VALUES(8,'large white',1.0,1.0,1.0,8.0);
INSERT INTO light VALUES(9,'large white',1.0,1.0,1.0,9.0);
INSERT INTO light VALUES(10,'large white',1.0,1.0,1.0,10.0);
INSERT INTO light VALUES(11,'tiny dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,1.0);
INSERT INTO light VALUES(12,'small dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,2.0);
INSERT INTO light VALUES(13,'small dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,3.0);
INSERT INTO light VALUES(14,'small dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,4.0);
INSERT INTO light VALUES(15,'medium dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,5.0);
INSERT INTO light VALUES(16,'medium dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,6.0);
INSERT INTO light VALUES(17,'medium dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,7.0);
INSERT INTO light VALUES(18,'large dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,8.0);
INSERT INTO light VALUES(19,'large dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,9.0);
INSERT INTO light VALUES(20,'large dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,10.0);
INSERT INTO light VALUES(21,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,2.0);
INSERT INTO light VALUES(22,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,3.0);
INSERT INTO light VALUES(23,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,4.0);
INSERT INTO light VALUES(24,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,5.0);
INSERT INTO light VALUES(25,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,6.0);
INSERT INTO light VALUES(26,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,7.0);
INSERT INTO light VALUES(27,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,8.0);
INSERT INTO light VALUES(28,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,9.0);
INSERT INTO light VALUES(29,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,10.0);
INSERT INTO light VALUES(30,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,11.0);
INSERT INTO light VALUES(31,'tiny dim red',1.0,0.29999999999999998889,0.29999999999999998889,1.0);
INSERT INTO light VALUES(32,'small dim red',1.0,0.29999999999999998889,0.29999999999999998889,2.0);
INSERT INTO light VALUES(33,'small dim red',1.0,0.29999999999999998889,0.29999999999999998889,3.0);
INSERT INTO light VALUES(34,'red',1.0,0.29999999999999998889,0.29999999999999998889,4.0);
INSERT INTO light VALUES(35,'red',1.0,0.29999999999999998889,0.29999999999999998889,5.0);
INSERT INTO light VALUES(36,'red',1.0,0.29999999999999998889,0.29999999999999998889,6.0);
INSERT INTO light VALUES(37,'red',1.0,0.29999999999999998889,0.29999999999999998889,7.0);
INSERT INTO light VALUES(38,'red',1.0,0.29999999999999998889,0.29999999999999998889,8.0);
INSERT INTO light VALUES(39,'red',1.0,0.29999999999999998889,0.29999999999999998889,9.0);
INSERT INTO light VALUES(40,'red',1.0,0.29999999999999998889,0.29999999999999998889,10.0);
INSERT INTO light VALUES(41,'green',0.29999999999999998889,1.0,0.29999999999999998889,1.0);
INSERT INTO light VALUES(42,'green',0.29999999999999998889,1.0,0.29999999999999998889,2.0);
INSERT INTO light VALUES(43,'green',0.29999999999999998889,1.0,0.29999999999999998889,3.0);
INSERT INTO light VALUES(44,'green',0.29999999999999998889,1.0,0.29999999999999998889,4.0);
INSERT INTO light VALUES(45,'green',0.29999999999999998889,1.0,0.29999999999999998889,5.0);
INSERT INTO light VALUES(46,'green',0.29999999999999998889,1.0,0.29999999999999998889,6.0);
INSERT INTO light VALUES(47,'green',0.29999999999999998889,1.0,0.29999999999999998889,7.0);
INSERT INTO light VALUES(48,'green',0.29999999999999998889,1.0,0.29999999999999998889,8.0);
INSERT INTO light VALUES(49,'green',0.29999999999999998889,1.0,0.29999999999999998889,9.0);
INSERT INTO light VALUES(50,'green',0.29999999999999998889,1.0,0.29999999999999998889,10.0);
CREATE TABLE IF NOT EXISTS "damagetype" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT
, "color" TEXT);
INSERT INTO slottype VALUES(6,'Ring 2');
INSERT INTO slottype VALUES(7,'Amulet');
CREATE TABLE IF NOT EXISTS "itemtype" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT
);
INSERT INTO itemtype VALUES(0,'None');
INSERT INTO itemtype VALUES(1,'Skill');
INSERT INTO itemtype VALUES(2,'Helmet');
INSERT INTO itemtype VALUES(3,'Armor');
INSERT INTO itemtype VALUES(4,'Boots');
INSERT INTO itemtype VALUES(5,'One-Handed Weapon');
INSERT INTO itemtype VALUES(6,'Two-Handed Weapon');
INSERT INTO itemtype VALUES(7,'Shield');
INSERT INTO itemtype VALUES(8,'Ring');
INSERT INTO itemtype VALUES(9,'Amulet');
INSERT INTO itemtype VALUES(10,'Consumable');
INSERT INTO itemtype VALUES(11,'Tradable');
INSERT INTO itemtype VALUES(12,'Unlockable');
INSERT INTO itemtype VALUES(13,'Key');
INSERT INTO itemtype VALUES(14,'Off-hand');
INSERT INTO itemtype VALUES(15,'Map');
CREATE TABLE IF NOT EXISTS "target" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT
);
INSERT INTO target VALUES(0,'None');
INSERT INTO target VALUES(1,'Self');
INSERT INTO target VALUES(2,'Enemy');
INSERT INTO target VALUES(3,'Ally');
INSERT INTO target VALUES(4,'Multiple Enemies');
INSERT INTO target VALUES(5,'Multiple Allies');
INSERT INTO target VALUES(6,'All Enemies');
INSERT INTO target VALUES(7,'All Allies');
INSERT INTO target VALUES(8,'Any');
INSERT INTO target VALUES(9,'Enemy Corpse AOE');
CREATE TABLE IF NOT EXISTS "scope" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT
);
INSERT INTO scope VALUES(0,'None');
INSERT INTO scope VALUES(1,'World');
INSERT INTO scope VALUES(2,'Battle');
INSERT INTO scope VALUES(3,'All');
CREATE TABLE IF NOT EXISTS "ai" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT
);
INSERT INTO ai VALUES(0,'None');
INSERT INTO ai VALUES(1,'AI_Dumb');
INSERT INTO ai VALUES(2,'AI_Smart');
INSERT INTO ai VALUES(3,'AI_Boss');
INSERT INTO ai VALUES(4,'AI_DeadQueen');
INSERT INTO ai VALUES(5,'AI_SlimePrince');
INSERT INTO ai VALUES(6,'AI_SkeletonPriest');
INSERT INTO ai VALUES(7,'AI_GoblinThief');
INSERT INTO ai VALUES(8,'AI_LavaMan');
INSERT INTO ai VALUES(9,'AI_SkeletonMage');
INSERT INTO ai VALUES(10,'AI_Raj');
INSERT INTO ai VALUES(11,'AI_Jem');
INSERT INTO ai VALUES(12,'AI_LavaSpitter');
INSERT INTO ai VALUES(13,'AI_Zog');
INSERT INTO ai VALUES(14,'AI_Attract');
CREATE TABLE IF NOT EXISTS "unlock" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT DEFAULT('None')
);
INSERT INTO unlock VALUES(0,'None');
INSERT INTO unlock VALUES(1,'Skill Slot 1');
INSERT INTO unlock VALUES(2,'Skill Slot 2');
INSERT INTO unlock VALUES(3,'Skill Slot 3');
INSERT INTO unlock VALUES(4,'Skill Slot 4');
INSERT INTO unlock VALUES(5,'Skill Point 1');
INSERT INTO unlock VALUES(6,'Skill Point 2');
INSERT INTO unlock VALUES(7,'Skill Point 3');
INSERT INTO unlock VALUES(8,'Skill Point 4');
INSERT INTO unlock VALUES(9,'Skill Point 5');
INSERT INTO unlock VALUES(10,'Skill Point 6');
INSERT INTO unlock VALUES(11,'Skill Point 7');
INSERT INTO unlock VALUES(12,'Skill Point 8');
INSERT INTO unlock VALUES(13,'Skill Point 9');
INSERT INTO unlock VALUES(14,'Skill Point 10');
INSERT INTO unlock VALUES(15,'None');
INSERT INTO unlock VALUES(16,'None');
INSERT INTO unlock VALUES(17,'None');
INSERT INTO unlock VALUES(18,'None');
INSERT INTO unlock VALUES(19,'None');
INSERT INTO unlock VALUES(20,'None');
INSERT INTO unlock VALUES(21,'None');
INSERT INTO unlock VALUES(22,'None');
INSERT INTO unlock VALUES(23,'None');
INSERT INTO unlock VALUES(24,'None');
INSERT INTO unlock VALUES(25,'Rite of Wealth');
INSERT INTO unlock VALUES(26,'Rite of Wisdom');
INSERT INTO unlock VALUES(27,'Rite of Knowledge');
INSERT INTO unlock VALUES(28,'Rite of Power');
INSERT INTO unlock VALUES(29,'Belt Slot 1');
INSERT INTO unlock VALUES(30,'Belt Slot 2');
INSERT INTO unlock VALUES(31,'Belt Slot 3');
CREATE TABLE IF NOT EXISTS "script" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT,
	"level" INTEGER DEFAULT(0),
	"cooldown" REAL DEFAULT(0)
);
INSERT INTO script VALUES(0,'None',0,0.0);
INSERT INTO script VALUES(1,'Script_Rejuv',20,0.0);
INSERT INTO script VALUES(2,'Script_Lava',10,0.0);
INSERT INTO script VALUES(3,'Script_Boss',7,0.0);
INSERT INTO script VALUES(4,'Script_Boss',12,0.0);
INSERT INTO script VALUES(5,'Script_Boss',17,0.0);
INSERT INTO script VALUES(6,'Script_Boss',20,0.0);
INSERT INTO script VALUES(7,'Script_Boss',23,0.0);
INSERT INTO script VALUES(8,'Script_Boss',33,0.0);
INSERT INTO script VALUES(9,'Script_Boss',38,0.0);
INSERT INTO script VALUES(10,'Script_Boss',39,0.0);
INSERT INTO script VALUES(11,'Script_Fall',16,0.0);
INSERT INTO script VALUES(12,'Script_Boss',41,0.0);
INSERT INTO script VALUES(13,'Script_Slow',10,0.0);
INSERT INTO script VALUES(14,'Script_Slow',30,0.0);
INSERT INTO script VALUES(15,'Script_Fall',20,0.0);
INSERT INTO script VALUES(16,'Script_Lava',100,0.0);
INSERT INTO script VALUES(17,'Script_Boss',45,0.0);
INSERT INTO script VALUES(18,'Script_Boss',46,0.0);
CREATE TABLE IF NOT EXISTS "event" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT DEFAULT('None'),
	"shortname" TEXT
);
INSERT INTO event VALUES(0,'None',' ');
INSERT INTO event VALUES(1,'Spawn','SP');
INSERT INTO event VALUES(2,'Map Entrance','ME');
INSERT INTO event VALUES(3,'Map Change','M');
INSERT INTO event VALUES(4,'Vendor','V');
INSERT INTO event VALUES(5,'Trader','T');
INSERT INTO event VALUES(6,'Key','K');
INSERT INTO event VALUES(7,'Script','S');
INSERT INTO event VALUES(8,'Portal','P');
INSERT INTO event VALUES(9,'Jump','J');
INSERT INTO event VALUES(10,'Black Smith','B');
INSERT INTO event VALUES(11,'Minigame','G');
INSERT INTO event VALUES(12,'Enchanter','E');
CREATE TABLE IF NOT EXISTS "level" (
	"level" INTEGER PRIMARY KEY,
	"experience" INTEGER,
	"skillpoints" INTEGER,
	"health" INTEGER,
	"mana" INTEGER,
	"damage" INTEGER,
	"armor" INTEGER
);
INSERT INTO level VALUES(1,0,3,150,0,1,0);
INSERT INTO level VALUES(2,10,4,160,0,2,0);
INSERT INTO level VALUES(3,32,5,170,0,3,0);
INSERT INTO level VALUES(4,78,6,180,0,4,0);
INSERT INTO level VALUES(5,166,7,190,0,5,0);
INSERT INTO level VALUES(6,320,8,200,0,6,0);
INSERT INTO level VALUES(7,570,9,210,0,7,0);
INSERT INTO level VALUES(8,952,10,220,0,8,0);
INSERT INTO level VALUES(9,1508,11,230,0,9,0);
INSERT INTO level VALUES(10,2286,12,240,0,10,1);
INSERT INTO level VALUES(11,3340,13,250,0,11,1);
INSERT INTO level VALUES(12,4730,14,260,0,12,1);
INSERT INTO level VALUES(13,6522,15,270,0,13,1);
INSERT INTO level VALUES(14,8788,16,280,0,14,1);
INSERT INTO level VALUES(15,11606,17,290,0,15,1);
INSERT INTO level VALUES(16,15060,18,300,0,16,1);
INSERT INTO level VALUES(17,19240,19,310,0,17,1);
INSERT INTO level VALUES(18,24242,20,320,0,18,1);
INSERT INTO level VALUES(19,30168,21,330,0,19,1);
INSERT INTO level VALUES(20,37126,22,340,0,20,2);
INSERT INTO level VALUES(21,45230,23,350,0,21,2);
INSERT INTO level VALUES(22,54600,24,360,0,22,2);
INSERT INTO level VALUES(23,65362,25,370,0,23,2);
INSERT INTO level VALUES(24,77648,26,380,0,24,2);
INSERT INTO level VALUES(25,91596,27,390,0,25,2);
INSERT INTO level VALUES(26,107350,28,400,0,26,2);
INSERT INTO level VALUES(27,125060,29,410,0,27,2);
INSERT INTO level VALUES(28,144882,30,420,0,28,2);
INSERT INTO level VALUES(29,166978,31,430,0,29,2);
INSERT INTO level VALUES(30,191516,32,440,0,30,3);
INSERT INTO level VALUES(31,218670,33,450,0,31,3);
INSERT INTO level VALUES(32,248620,34,460,0,32,3);
INSERT INTO level VALUES(33,281552,35,470,0,33,3);
INSERT INTO level VALUES(34,317658,36,480,0,34,3);
INSERT INTO level VALUES(35,357136,37,490,0,35,3);
INSERT INTO level VALUES(36,400190,38,500,0,36,3);
INSERT INTO level VALUES(37,447030,39,510,0,37,3);
INSERT INTO level VALUES(38,497872,40,520,0,38,3);
INSERT INTO level VALUES(39,552938,41,530,0,39,3);
INSERT INTO level VALUES(40,612456,42,540,0,40,4);
INSERT INTO level VALUES(41,676660,43,550,0,41,4);
INSERT INTO level VALUES(42,745790,44,560,0,42,4);
INSERT INTO level VALUES(43,820092,45,570,0,43,4);
INSERT INTO level VALUES(44,899818,46,580,0,44,4);
INSERT INTO level VALUES(45,985226,47,590,0,45,4);
INSERT INTO level VALUES(46,1076580,48,600,0,46,4);
INSERT INTO level VALUES(47,1174150,49,610,0,47,4);
INSERT INTO level VALUES(48,1278212,50,620,0,48,4);
INSERT INTO level VALUES(49,1389048,51,630,0,49,4);
INSERT INTO level VALUES(50,1506946,52,640,0,50,5);
INSERT INTO level VALUES(51,1632200,53,650,0,51,5);
INSERT INTO level VALUES(52,1765110,54,660,0,52,5);
INSERT INTO level VALUES(53,1905982,55,670,0,53,5);
INSERT INTO level VALUES(54,2055128,56,680,0,54,5);
INSERT INTO level VALUES(55,2212866,57,690,0,55,5);
INSERT INTO level VALUES(56,2379520,58,700,0,56,5);
INSERT INTO level VALUES(57,2555420,59,710,0,57,5);
INSERT INTO level VALUES(58,2740902,60,720,0,58,5);
INSERT INTO level VALUES(59,2936308,61,730,0,59,5);
INSERT INTO level VALUES(60,3141986,62,740,0,60,6);
INSERT INTO level VALUES(61,3358290,63,750,0,61,6);
INSERT INTO level VALUES(62,3585580,64,760,0,62,6);
INSERT INTO level VALUES(63,3824222,65,770,0,63,6);
INSERT INTO level VALUES(64,4074588,66,780,0,64,6);
INSERT INTO level VALUES(65,4337056,67,790,0,65,6);
INSERT INTO level VALUES(66,4612010,68,800,0,66,6);
INSERT INTO level VALUES(67,4899840,69,810,0,67,6);
INSERT INTO level VALUES(68,5200942,70,820,0,68,6);
INSERT INTO level VALUES(69,5515718,71,830,0,69,6);
INSERT INTO level VALUES(70,5844576,72,840,0,70,7);
INSERT INTO level VALUES(71,6187930,73,850,0,71,7);
INSERT INTO level VALUES(72,6546200,74,860,0,72,7);
INSERT INTO level VALUES(73,6919812,75,870,0,73,7);
INSERT INTO level VALUES(74,7309198,76,880,0,74,7);
INSERT INTO level VALUES(75,7714796,77,890,0,75,7);
INSERT INTO level VALUES(76,8137050,78,900,0,76,7);
INSERT INTO level VALUES(77,8576410,79,910,0,77,7);
INSERT INTO level VALUES(78,9033332,80,920,0,78,7);
INSERT INTO level VALUES(79,9508278,81,930,0,79,7);
INSERT INTO level VALUES(80,10001716,82,940,0,80,8);
INSERT INTO level VALUES(81,10514120,83,950,0,81,8);
INSERT INTO level VALUES(82,11045970,84,960,0,82,8);
INSERT INTO level VALUES(83,11597752,85,970,0,83,8);
INSERT INTO level VALUES(84,12169958,86,980,0,84,8);
INSERT INTO level VALUES(85,12763086,87,990,0,85,8);
INSERT INTO level VALUES(86,13377640,88,1000,0,86,8);
INSERT INTO level VALUES(87,14014130,89,1010,0,87,8);
INSERT INTO level VALUES(88,14673072,90,1020,0,88,8);
INSERT INTO level VALUES(89,15354988,91,1030,0,89,8);
INSERT INTO level VALUES(90,16060406,92,1040,0,90,9);
INSERT INTO level VALUES(91,16789860,93,1050,0,91,9);
INSERT INTO level VALUES(92,17543890,94,1060,0,92,9);
INSERT INTO level VALUES(93,18323042,95,1070,0,93,9);
INSERT INTO level VALUES(94,19127868,96,1080,0,94,9);
